Rote-Linsen-Burger (1);Fast Food;375;41,6;16,2;14,4;ja;ja
Mi Goreng Instant-Nudeln ;Fertiggericht;376;49,6;9,8;14,9;ja;nein
Pho ga Instant Nudeln;Fertiggericht;394;77;7,3;5,9;ja;ja
Kartoffeln mit Spinat und Spiegelei;Klassisch;423;27,3;23,7;23,4;ja;möglich
Bärlauchsuppe mit Brot;One-Pot;432;60,8;9;15,8;ja;nein
Saucy Ramennudeln mit Sesamsaat;Klassisch;480;92,1;17,2;11;ja;nein
Eierkuchen/Pfannkuchen;Süßspeise;605;85,7;26;16,2;ja;nein
BurgerKing Halloumi King;Fast Food;627;42,7;23,6;40;ja;nein
Bandnudeln mit Spinat und Spiegelei;Klassisch;635;80,1;30,6;20,4;ja;möglich
Bratkartoffeln mit Ei;One-Pot;637;43,3;28,6;37,7;ja;möglich
Tofu-Gyros mit Pommes und Zaziki;Fast Food;641;34,5;20;26,3;ja;möglich
Pommes mit Harrisa Falafeln;Fast Food;649;97,1;21,3;14,2;ja;ja
Nudeln mit Sonnenblumenhack in Ketchupsoße;Klassisch;655;117,8;24,8;7,4;ja;ja
Spaghetti mit Pesto;Klassisch;696;84,7;10,2;34,4;ja;möglich
Onigiri (3 Stück);Klassisch;700;138;15;8,9;ja;ja
Crepes mit Nutella;Süßspeise;711;98,6;26,8;21,1;ja;nein
Rote-Linsen-Kidneybohnen-Bratlinge (2) mit Pommes;Klassisch;723;111,9;30,7;11,5;ja;ja
Hefeklöße mit Heidelbeeren und Butter;Klassisch;740;119;16,7;21,4;ja;nein
Kaiserschmarrn;Süßspeise;756;83,5;24,4;35,9;ja;nein
Baguette mit Veggie Sloppy Joe Soße aus Sojahack;Fast Food;759;92,9;35,1;23,2;ja;ja
Linsen Bolognese;Klassisch;788;129;33,6;12,2;ja;ja
Penne Arrabiata;Klassisch;791;103,3;56,9;16;ja;ja
Gebackener Feta mit Kartoffelecken und Quark;Klassisch;863;79,8;37;46,3;ja;nein
Falafeln (8) mit Pommes;Fast Food;881;121,9;21,7;30;ja;ja
Tomatensalat 1kg Tomaten mit 2 Mozzarella Light;Salat;885;35;61,2;51;ja;nein
panierter Tofu mit Salat;Klassisch;829;51,5;36,78;50,8;ja;ja
Halloumi-Burger (ganzer Halloumi);Fast Food;1010;49,7;52,4;65,4;ja;nein
Chili sin Carne mit Sojahack und Pommes;Klassisch;935;129,8;52;15,4;ja;ja
Chili sin Carne mit Sojahack und Brot;One-Pot;411;69;21,4;2,7;ja;ja
Rote Linsensuppe mit Brot;One-Pot;740;126,4;35,2;3,2;ja;ja
Mediterranes Ofengemüse;Auflauf;666;35,3;43,2;36;ja;ja
Kichererbsen Nuggets mit Pommes;Klassisch;745;121,1;33;26,8;ja;ja
Veganer Hackbraten;Klassisch;489;60,9;10,1;21,5;ja;ja
Nudeln in veganer Toskana-Sahnesoße mit Paprika;One-Pot;971;135,1;38,1;26,1;ja;ja
Chili Con Veggie Auflauf mit Tortillas;Auflauf;562;87,1;24,7;9,6;ja;ja
Langos (2);Klassisch;660;98;9,7;42,5;ja;möglich
Nudelsuppe mit Bockwurst und Brot;One-Pot;311;56,5;11,2;4,2;möglich;möglich
Kartoffelecken, Lachsfilet und Spinat;Klassisch;536;45,3;35,3;21,5;möglich;nein
Bistro Baguette;Fertiggericht;580;72,5;21,3;21,3;möglich;möglich
Spinat-Käse-Suppe;One-Pot;601;28,3;37,7;35;möglich;nein
Hähnchengeschnetzeltes mit Reis und Paprika;Klassisch;601;95,2;47,1;6,2;nein;nein
Kartoffelgratin mit Bratwurst und Bohnen;Klassisch;802;38,1;28,1;56,7;möglich;nein
Pizza Ristorante (typisch);Fertiggericht;846;82;28;43;möglich;nein
Reispfanne;Klassisch;863;109,8;32,7;31,4;möglich;möglich
Nudelsalat mit Jagdwurst (Riesenportion);Klassisch;1039;126,5;22,7;46,8;möglich;nein
Pizza Pöhlde;Fast Food;1100;110;49,5;55;möglich;nein
Pizza selbstgemacht;Fast Food;1289;126,1;55,9;56,7;möglich;möglich
Bihunsuppe;Fertiggericht;172;22;8;5,6;nein;nein
Wraps mit Chilifüllung;Fast Food;352;38;18;14;nein;nein
Rustipani;Fertiggericht;398;57,6;17,8;10,3;nein;nein
Hackbällchen Toskana;Klassisch;466;10,9;31,2;33,5;nein;nein
Nudeln mit Ketchup-Soße;Klassisch;485;66,7;21,3;15,6;nein;nein
Frischkäse-Kartoffeltaschen und Hähnchen Cordon Bleu;Klassisch;502;47,2;41,5;15,7;nein;nein
Krautgulasch mit Kartoffeln;Klassisch;514;57,5;30,8;16,2;nein;nein
Nudel-Schinken-Gratin;Auflauf;518;49,2;26,3;23,7;nein;nein
Hackfleisch-Käse-Lauch-Suppe;One-Pot;519;42;10,8;33,6;nein;nein
Frühlingsrollen mit Huhn und gebratene Asia-Nudeln;Klassisch;523;51,4;15,6;36,5;nein;nein
Spaghetti Carbonara;Klassisch;524;76;22,8;13,2;nein;nein
Spaghetti Bolognese;Klassisch;525;73,8;26,2;13;nein;nein
Gebratene Nudeln mit Schinken und Ei;Klassisch;531;72,3;32,6;11,7;nein;nein
Lahmacun Hähnchen;Fast Food;550;66,5;38,5;8,8;nein;nein
Kartoffelspalten mit Puten-Bifteki und Quark;Klassisch;550;39,1;47,7;20,3;nein;nein
Bauerntopf mit Hackfleisch;One-Pot;552;36,8;29,2;30;nein;nein
Kartoffelsalat mit Gehacktes-Klößchen;Klassisch;572;38;27,4;33,2;nein;nein
Kartoffelgratin mit Wiener Schnitzel;Klassisch;580;58,9;31,4;22,5;nein;nein
Kartoffel-Hackfleisch-Auflauf;Auflauf;584;28;34,8;36,8;nein;nein
Tacosalat;Klassisch;596;44,3;26,4;33,1;nein;nein
Lasagne Bolognese;Auflauf;599;52,3;28,5;29,9;nein;nein
Spaghetti mit Hackbällchen-Tomatensoße;Klassisch;608;60,3;31,5;25,6;nein;nein
Schwartenwurstsoße mit Kartoffeln;Klassisch;613;58,1;27,3;28,8;nein;nein
Kartoffel-Hack-Gratin mit Paprika;Auflauf;614;37,9;34,4;34,7;nein;nein
Grilled Cheese Sandwich with Bacon and Eggs;Fast Food;622;21,5;35,1;43,7;nein;nein
Kartoffelbrei mit Gehacktes-Klößchen;Klassisch;623;43,5;36,2;41,1;nein;nein
Spaghettisalat mit Hähnchenbrustfilet und Gurkensalat;Klassisch;624;59,1;40,8;23;nein;nein
Nudeln mit Puten-Geschnetzeltem und Salat;Klassisch;625;54,4;41,2;16,4;nein;nein
Spaghetti Bolognese Tacos;Fast Food;651;61,9;26,5;32,5;nein;nein
Pommes mit Chicken Wings und Mayo;Fast Food;653;32,1;33,6;42,6;nein;nein
Enchiladas;Klassisch;664;51,3;33,4;35,2;nein;nein
Ofenbällchen mit Gouda mit Reis;Klassisch;670;45,7;37,3;37,5;nein;nein
Chili con Carne mit Baguette;Klassisch;675;71,7;34,4;25,6;nein;nein
Dominos Pizza Teriyaki;Fast Food;745;104,5;41,2;17,2;nein;nein
Puten-Hacksteaks mit Kartoffelspalten und Quark;Klassisch;745;69,6;30,7;36,1;nein;nein
Pommes mit Hähnchensteak und Weißkraut;Klassisch;747;68,7;68,9;19,6;nein;nein
Gyros im Fladenbrot mit Weißkraut und Zaziki;Klassisch;758;73,8;52,3;26,9;nein;nein
Schinken-Hack-Röllchen mit Kroketten und Remoulade;Klassisch;761;43,3;33;49,7;nein;nein
Hähnchenschenkel mit Pommes, Mayo und Salat;Klassisch;764;32;33,2;54,6;nein;nein
Pizzabrötchen;Fast Food;777;64;37,9;38,9;möglich;möglich
Nudeln mit gebratenem Leberkäse;Klassisch;792;77,5;22;37,9;nein;nein
Hähnchen Cordon Bleu mit Pommes;Klassisch;798;85,7;38,1;31,7;nein;nein
Fertig XXL Lasagne (Penny);Fertiggericht;819;62,6;35,7;45,9;nein;nein
Großer Dönerteller mit Pommes und Salat;Fast Food;820;63,2;34,8;47,6;nein;nein
Kräuter-Sahne-Hähnchen mit Kartoffelspalten und Quark;Klassisch;858;63,3;61,8;37,7;nein;nein
Nudelsalat mit Wiener Würstchen;Klassisch;909;56,3;35,7;58,3;nein;nein
3 Sandwichs;Fast Food;984;98,2;47,6;41,3;möglich;möglich
McMenü Burger,Pommes, Mayo, Cola;Fast Food;1413;128,7;47,7;77,5;nein;nein
